Month,Year,Inflation Rate
Jun,2022,9.06
May,2022,8.58
Mar,2022,8.54
Jul,2022,8.52
Apr,2022,8.26
Aug,2022,8.26
Sep,2022,8.2
Feb,2022,7.87
Oct,2022,7.75
Jan,2022,7.48
Nov,2022,7.11
Dec,2021,7.04
Nov,2021,6.81
Dec,2022,6.45
Jan,2023,6.41
Oct,2021,6.22
Feb,2023,6.04
Sep,2021,5.39
Jun,2021,5.39
Jul,2021,5.37
Aug,2021,5.25
May,2021,4.99
Mar,2023,4.98
Apr,2023,4.93
Apr,2021,4.16
May,2023,4.05
Sep,2023,3.7
Aug,2023,3.67
Mar,2024,3.48
Apr,2024,3.36
Dec,2023,3.35
May,2024,3.27
Oct,2023,3.24
Jul,2023,3.18
Feb,2024,3.15
Nov,2023,3.14
Jan,2024,3.09
Jun,2023,2.97
Mar,2021,2.62
Feb,2021,1.68
Jan,2021,1.4
Sep,2020,1.37
Dec,2020,1.36
Aug,2020,1.31
Oct,2020,1.18
Nov,2020,1.17
Jul,2020,0.99
Jun,2020,0.65
Apr,2020,0.33
May,2020,0.12
